subject,category,type,question,options,answer,explanation
英語,2014年,selection,The game those students are playing now () exciting.,"look,looks,are looking,look at",look,分野: 長い主語
英語,2013年,selection,This machine () by may people in the future.,"will be used,use,uses,is using",will be used,分野: 受動態
英語,2013年,selection,Every child () a different dream.,"has,having,are having,have",has,分野: every単数
英語,2013年,selection,Who () this picture of the beautiful mountains?,"took,taking,taken,do it take",took,分野: whoが主語の疑問文
英語,2012年,selection,My sister hearned () to play the guitar.,"how,but,as,if",how,分野: 疑問詞＋不定詞
英語,2012年,selection,The new English teacher from Australia () very well.,"sings,to sing,sing,singing",sings,分野: 長い主語
英語,2012年,selection,"I visited Nara () November 24, 2011.","on,in,at,for",on,分野: 前置詞
英語,2012年,selection,Look at the birds () in the sky.,"flying,are flying,were flying,flies",flying,分野: 現在分詞
英語,2011年,selection,The movie was () by Mr.Kitayama last year.,"made,make,makes,be made",made,分野: 受動態
英語,2011年,selection,My father has () in Hokkaido since last week.,"been,be,being,were",been,分野: 現在完了
英語,2011年,selection,We () the second month of the year February in English.,"call,calls,calling,to call",call,分野: 動詞
英語,2011年,selection,That is the restaurant () visited twenty years ago.,"I,to,has,when",I,分野: 関係代名詞の省略
英語,2010年,selection,The woman who has stayed at my house for two months () Ms. Carpenter.,"is,am,are,to be",is,分野: 長い主語
英語,2010年,selection,This is a room () by my sister.,"used,will use,are used,is using",used,分野: 過去分詞
英語,2010年,selection,I think soccer is () exciting of all the sports.,"the most,a,than,many",the most,分野: 比較
英語,2010年,selection,I feel sick.  So I want to () to bed now.,"go,become,made,gave",go,分野: 不定詞　動詞
英語,2009年,selection,This is the park () visited two years ago.,"we,to,has,because",we,分野: 関係代名詞の省略
英語,2009年,selection,She has lived in this city () last year.,"since,in,for,with",since,分野: 関係代名詞
英語,2009年,selection,This book is () difficult than that one for me.,"more,much,many,most",more,分野: 比較
英語,2009年,selection,"When I called Kumiko, she () English.","was studying,studies,is studying,will study",was studying,分野: 接続詞when
英語,2008年,selection,New computers are () in our English class.,"used,use,uses,using",used,分野: 受動態
英語,2008年,selection,How () have you lived in Yokohama?,"long,many,much,old",long,分野: 疑問詞 How＋
英語,2008年,selection,My family has to dogs. My brother and I usually take () of them.,"care,well,litter,look",care,分野: 熟語
英語,2008年,selection,Look at the bike under the tree. () bike is that?,"Whose,Who,How,Where",Whose,分野: 疑問詞
英語,2007年,selection,() you tell me the way to the station?,"Could,Were,Have,When",Could,分野: 会話
英語,2007年,selection,The new student from Canada () faster than I.,"swims,as,more,swim",swims,分野: 長い主語
英語,2007年,selection,I have a () friends in Australia.,"few,every,some,much",few,分野: 語句
英語,2007年,selection,Do you know the name of that bird () in the trees?,"singing,is singing,sings,sing",singing,分野: 現在分詞
英語,2006年,selection,I usually walk to school. () do you go to school?,"How,What,Whose,That",How,分野: 疑問詞
英語,2006年,selection,My father uses an old desk () in China fifty years ago.,"made,make,making,makes",made,分野: 過去分詞
英語,2006年,selection,It is very important () you to go to bed early.,"for,or,if,who",for,分野: It for 人　to
英語,2006年,selection,A:I feel sick.<br>B:Are you OK? I hope you will () well soon.,"get,listen,agree,cry",get,分野: 語句
英語,2005年,selection,I have two pens here. () one do you want to use?,"Which,How,Why,Who",Which,分野: 疑問詞
英語,2005年,selection,It's very hot here. () I poen the window?,"May,Have,Am,Was",May,分野: 助動詞
英語,2005年,selection,A:Excuse me. Where is the station?<br>B:Can you see that hospital? () left there. You will see the station on your right.,"Turn,Have,Find,Wait",Turn,分野: 動詞
英語,2005年,selection,The boy who played tennis with your sisters yesterday () one of my friends.,"is,are,be,were",is,分野: 長い主語
英語,2004年,selection,My sister and I bought this pen for () father. Tomorrow is his birthday.,"our,ours,us,we",our,分野: 代名詞
英語,2004年,selection,"""() don't you play tennis with us?""<br>""OK. Let's go.""","Why,How,What,When",Why,分野: 疑問詞
英語,2004年,selection,My computer is very old. I'm going to buy a new ().,"one,this,that,it",one,分野: 語句
英語,2004年,selection,There are a () desks in the room.,"few,little,many,lot",few,分野: 語句
英語,2003年,selection,"He spoke too fast, so I said to him, ""Please speak ().""","more slowly,too slowly,so fast,faster",more slowly,分野: 文脈
英語,2003年,selection,Last week I went skiing in Nagano with my family and we had a lot of ().,"fun,enjoy,happy,interesting",fun,分野: 語句
英語,2003年,selection,"My friend, Ken, speaks Japanese very well, but he's () Canada.","from,like,been,away",from,分野: 文脈
英語,2003年,selection,The girls talking with Mr. Yoshida () going to visit a school in Osaka this summer.,"are,be,is,was",are,分野: 長い主語
英語,2002年,selection,Many Japanese () with <i>hashi</i>.,"eat,study,run,swim",eat,分野: 動詞
英語,2002年,selection,Many places in Japan have a () season called <i>tsuyu</i> which comes fefore summer. It many not be a good season for traveling.,"rainy,holiday,baseball,right",rainy,分野: 語句
英語,2002年,selection,We use a () when we want to know what a word means.,"dictionary,room,desk,bag",dictionary,分野: 文脈
英語,2002年,selection,"A () is something that everyone has. You have one, too. People usually use it when they call you.","name,birthday,nose,mother",name,分野: 文脈
英語,2001年,selection,He () dinner when she came home.,"was cooking,coks,is cooked,is cooking",was cooking,分野: 接続詞when
英語,2001年,selection,Some of () like this song very much.,"us,our,we're,we",us,分野: 代名詞
英語,2001年,selection,The man you saw yesterday () you at three tomorrow.,"will visit,visit,visited,has visited",will visit,分野: 長い主語
英語,2001年,selection,My sister's name is Sachiko. Her friends () her Sachi.,"call,calls,is called,are called",call,分野: 動詞
英語,2000年,selection,Bob () many interesting animals yesterday.,"saw,see,sees,has seen",saw,分野: 時制
英語,2000年,selection,"It's an old movie, () it?","isn't,hasn't,doesn't,haven't",isn't,分野: 付加疑問文
英語,2000年,selection,The girl () pictures in the garden is my sister.,"taking,take,takes,took",taking,分野: 過去分詞
英語,2000年,selection,I know a teacher () can play the guitar.,"who,which,whom,whose",who,分野: 関係代名詞
英語,2000年,selection,These books () written five hundred years ago.,"were,did,had,was",were,分野: 受動態
英語,1999年,selection,I () in Japan for three years.,"have lived,lives,is living,was lived",have lived,分野: 現在完了
英語,1999年,selection,"Ken says the book is his, but Reiko says it's ().","hers,her,she,she's",hers,分野: 代名詞
英語,1999年,selection,() Yoshiko and I are from Tokyo.,"Both,All,Each,Some",Both,分野: 熟語
英語,1999年,selection,Let's () hunch together.,"eat,eating,eats,to eat",eat,分野: 命令文
英語,1999年,selection,My father wants to buy a car () in America.,"made,make,makes,making",made,分野: 過去分詞
英語,1998年,selection,This dictionary is () big to use on my desk.,"too,so,more,much",too,分野: too … to 構文
英語,1998年,selection,That tennis player is famous all () the world.,"over,on,in,under",over,分野: 熟語
英語,1998年,selection,This station () five years ago.,"was build,build,was building,built",was build,分野: 受動態
英語,1998年,selection,"""Here () your notebook."" <br>""Thank you.""","is,are,does,do",is,分野: Here is
英語,1998年,selection,My mother always tells me () English hard.,"to study,study,studies,studying",to study,分野: tell 人 to
英語,1997年,selection,The girl talking with the boys () my sister very well.,"knows,know,knowing,to know",knows,分野: 長い主語
英語,1997年,selection,"""Is this your pencil?"" <br>""No. It's ().""","his,me,my,him",his,分野: 代名詞
英語,1997年,selection,() a letter in English is interesting.,"Writing,Write,Wrote,Writes",Writing,分野: 動名詞
英語,1997年,selection,The news () everyone happy.,"made,came,would,should",made,分野: 第５文型make
英語,1997年,selection,I don't know () he was late.,"why,what,who,which",why,分野: 間接疑問文
英語,1996年,selection,"""How old () your uncle?""<br>""He's fifty years old now.""","is,was,are,has",is,分野: be動詞選択
英語,1996年,selection,The city he () ten years ago was Tokyo.,"visited,visit,visits,visiting",visited,分野: 関係代名詞の省略
英語,1996年,selection,"""I don't like cats.""<br>""Really? How () dogs?""","about,of,with,from",about,分野: 疑問詞
英語,1996年,selection,I had many things () last night.,"to do,does,did,doing",to do,分野: 不定詞
英語,1996年,selection,"""() quiet. I am studying now.""<br>""All right.""","Be,Being,Doing,Do",Be,分野: 命令文
英語,1995年,selection,Makoto likes () pictures very much.,"taking,takes,take,took",taking,分野: 動名詞
英語,1995年,selection,I have a brother () can speak English very well.,"who,which,where,how",who,分野: 関係代名詞
英語,1995年,selection,How meny people () ther in his town ten years ago?,"were,is,was,are",were,分野: be動詞選択
英語,1995年,selection,It is important for you people () old people.,"to help,help,helps,helped",to help,分野: It for 人　to
英語,1995年,selection,Has Yuki ever () to America?,"been,be,being,to be",been,分野: 現在完了
英語,1995年,selection,"""Was this desk made by Ken?""<br>""No, ().""","it wasn't,it isn't,he isn't,he wasn't",it wasn't,分野: 返答文
英語,1995年,selection,"""Is her name Akiko?""<br>""Yes, but we () her Aki.""","call,speak,tell,say",call,分野: 第五文型
英語,1994年,selection,() Junko and Yukiko students at this school last year?,"Were,Are,Was,Is",Were,分野: be動詞選択
英語,1994年,selection,The cat () Tama is sleeping under the desk.,"called,call,calls,has called",called,分野: 過去分詞
英語,1994年,selection,Let's () to the story.,"listen,listens,to listen,listening",listen,分野: 命令文
英語,1994年,selection,I don't know () said such a thing.,"who,that,where,why",who,分野: 間接疑問文
英語,1994年,selection,Tomoko sometimes () tennis when she is not busy.,"plays,play,played,playing",plays,分野: 接続詞when
英語,1994年,selection,"""How () will you stay here?""<br>""For ten days.""","long,old,many,early",long,分野: 疑問詞 How＋
英語,1994年,selection,"""() day is it today?""<br>""It's Monday.""","What,Who,When,How",What,分野: 疑問詞
英語,1993年,selection,I () never been to that country.,"have,will,do,did",have,分野: 現在完了
英語,1993年,selection,The boy () a picture under the tree is my brother.,"drawing,draws,can draw,will draw",drawing,分野: 現在分詞
英語,1993年,selection,Do you think tennis is () interesting than baseball?,"more,much,most,the most",more,分野: 比較
英語,1993年,selection,Yoshiko () a book when Ken visited her.,"was reading,reads,to read,has read",was reading,分野: 接続詞when
英語,1993年,selection,There () a few trees in the garden ten years ago.,"were,is,are,was",were,分野: be動詞選択
英語,1993年,selection,() did you play baseball at our school with them?,"When,What,Who,Which",When,分野: 疑問詞
英語,1993年,selection,"""Is this her notebook?""<br>""No, it isn't. It's ().""","mine,me,her,hers",mine,分野: 代名詞
英語,1992年,selection,() Ken and Yoshiko going to play tennis tomorrow?,"Are,Is,Does,Do",Are,分野: be going to
英語,1992年,selection,Akiko went to Nagoya () her aunt.,"to visit,visit,visits,visited",to visit,分野: 不定詞
英語,1992年,selection,Does he know () to play baseball?,"how,which,what,who",how,分野: 疑問詞＋不定詞
英語,1992年,selection,"""() is your mother?""<br>""She is fine.""","How,Where,What,When",How,分野: 疑問詞
英語,1992年,selection,"() me the picture, please.","Show,Shows,Showing,To show",Show,分野: 命令文
英語,1992年,selection,My father asked me () the window.,"to open,open,opens,opened",to open,分野: ask 人 to
英語,1992年,selection,What does Ken () do today?,"have to,has to,had to,must",have to,分野: 助動詞
英語,1991年,selection,She goes to the station () bus.,"by,on,in,with",by,分野: 前置詞
英語,1991年,selection,Masao always () to school at 8:30.,"comes,come,coming,to come",comes,分野: 動詞の時制
英語,1991年,selection,The boy () the guitar is my son.,"playing,play,plays,played",playing,分野: 現在分詞
英語,1991年,selection,I like Japanese food. How () you?,"about,of,for,with",about,分野: 疑問詞 How＋
英語,1991年,selection,John () to Kyoto two weeks ago.,"went,go,going,will go",went,分野: 動詞の時制
英語,1991年,selection,"I like baseball very much, () I'm not a good player.","but,or,so,because",but,分野: 接続詞
英語,1991年,selection,We have () good friends since two years ago.,"been,be,are,were",been,分野: 現在完了
英語,1990年,selection,Reiko () visit her uncle last month.,"did not,does not,has been,has to",did not,分野: 否定文
英語,1990年,selection,"""Tell me () he came here.""<br>""He came here yesterday.""","when,how,where,why",when,分野: 間接疑問文
英語,1990年,selection,() enjoyed playing basketball in the park last Sunday?,"Who,Where,When,Whose",Who,分野: 疑問文
英語,1990年,selection,I have an uncle () works in the library.,"who,whose,whom,which",who,分野: 関係代名詞
英語,1990年,selection,Tom () with his brother since last year.,"has lived,lives,lived,was living",has lived,分野: 現在完了
英語,1990年,selection,My brother is as () I.,"busy,busier,busiest,the busiest",busy,分野: 比較
英語,1990年,selection,The people () to the party will come here at five o'clock.,"invited,invite,inviting,will invite",invited,分野: 過去分詞
英語,1989年,selection,Baseball is () of all sports.,"the most interesting,interesting,an interesting,more interesting",the most interesting,分野: 比較
英語,1989年,selection,"""() are you going to do with Tom?""<br>""I'm going to play tennis with him.""","What,Where,When,Why",What,分野: 疑問詞
英語,1989年,selection,Taro () his homework when his father came home last night.,"was doing,does,is doing,has done",was doing,分野: 接続詞when
英語,1989年,selection,*Tom is an American boy () I have known for two years.,"whom,what,whose,which",whom,分野: 関係代名詞
英語,1989年,selection,The girl () Mrs. West in the kitchen is her daughter.,"helping,helps,help,helped",helping,分野: 現在分詞
英語,1989年,selection,"""How () has he stayed in Japan?""<br>""For three months.""","long,many,much,nice",long,分野: 疑問詞 How＋
英語,1989年,selection,We could not play baseball yesterday () it was raining.,"because,or,if,but",because,分野: 接続詞
英語,1988年,selection,My uncle () drive on Sunday.,"doesn't,isn't,don't,hasn't",doesn't,分野: 疑問文
英語,1988年,selection,"""Where shall () put these glasses?""<br>""Put them on the table, Please.""","I,you,he,they",I,分野: 助動詞
英語,1988年,selection,Taro looks () than Bill.,"younger,young,very young,the youngest",younger,分野: 比較
英語,1988年,selection,() your father ever been to America?,"Has,Does,Will,Have",Has,分野: 現在完了
英語,1988年,selection,Here () a few houses when I was a child.,"were,is,are,was",were,分野: 接続詞when
英語,1988年,selection,"""() did Tom give you?""<br>""He gave me a picture.""","What,When,Where,Why",What,分野: 疑問詞
英語,1988年,selection,Look at the white car () has two doors.,"which,whose,whom,how",which,分野: 関係代名詞
英語,1987年,selection,The dinner () by my sister this evening was very good.,"cooked,cook,cooking,to cook",cooked,分野: 過去分詞
英語,1987年,selection,() your brother sent a present to her?,"Has,Have,Will,Does",Has,分野: 現在完了
英語,1987年,selection,"""What time shall I come?""<br>""How () eight o'clock?""","about,to,from,at",about,分野: 疑問詞 How＋
英語,1987年,selection,My brother has been sick () Friday.,"since,from,for,on",since,分野: 現在完了
英語,1987年,selection,Look at the girl () the guitar.,"playing,plays,played,is playing",playing,分野: 現在分詞
英語,1987年,selection,Stop () and listen to me.,"talking,talk,talked,to talk",talking,分野: 動名詞
英語,1987年,selection,"""() you have some more milk?""<br>""Yes, please.""","Will,May,Did,Shall",Will,分野: 助動詞
英語,1986年,selection,"""() do you study English?""<br>""Because I want to understand foreign people.""","Why,When,What,How",Why,分野: 疑問詞
英語,1986年,selection,"""How () classes do you have on Saturday?""<br>""We have four in the morning.""","many,long,old,much",many,分野: 疑問詞 How＋
英語,1986年,selection,My father () a newspaper when I went into the room?,"was reading,has read,reads,will read",was reading,分野: 接続詞when
英語,1986年,selection,"""() you finished your work?""<br>""Yes, but it was very hard.""","Have,Do,Has,Did",Have,分野: 現在完了
英語,1986年,selection,The new book () by him is very interesting.,"written,write,wrote,writing",written,分野: 過去分詞
英語,1000年,selection,Do you remember the name of the restaurant () we visited last Sunday?,"which,who,what,when",which,分野: 関係代名詞
英語,1000年,selection,Your room is as large as ().,"mine,I,my,me",mine,分野: 代名詞
英語,1000年,selection,My mother tells me () to bed earlier.,"to go,go,going,went",to go,分野: tell 人 to 
英語,1000年,selection,We played a game () <i>kimodameshi</i> last night.,"called,call,calling,to call",called,分野: 過去分詞
英語,1000年,selection,"I've heard this song before, but I don't know () sings it.","who,what,which,that",who,分野: 間接疑問文
英語,1000年,selection,It is not good for your eyes () TV for a long time.,"to watch,watch,watched,will watch",to watch,分野: It for 人 to
英語,1000年,selection,I haven't started reading the book () our teacher told us to read.,"that,who,what,when",that,分野: 関係代名詞
英語,1000年,selection,I have three friends () like to play soccer.,"who,which,whose,what",who,分野: 関係代名詞
英語,1000年,selection,I don't know () this tree is called. Do you know its name?,"what,when,who,which",what,分野: 間接疑問文
英語,1000年,selection,Here is a new video game. I'll show you () play it.,"how to,the way,what to,that",how to,分野: 疑問詞＋不定詞
英語,1000年,selection,I studied every subject () hard that I was able to do well on the test.,"so,as,because,too",so,分野: so that
英語,1000年,selection,Your room is much nicer than ().,"mine,I,my,me",mine,分野: 代名詞
英語,1000年,selection,Do you know () to open this box?,"how,what,which,who",how,分野: 疑問詞＋不定詞
英語,1000年,selection,The city () the Big Apple is New York City.,"called,calls,calling,to call",called,分野: 過去分詞
英語,1000年,selection,The stories my grandfather told me () very interesting.,"were,be,is,was",were,分野: 長い主語
英語,1000年,selection,We are going to the restaurant () has just opened.,"which,who,when,what",which,分野: 関係代名詞
英語,1000年,selection,It was () cold to swim in the river yesterday.,"too,as,well,much",too,分野: too … to 構文
英語,1000年,selection,The cake () by Masako was delicious.,"made,make,makes,making",made,分野: 過去分詞
英語,1000年,selection,Which book is the easiest () the three?,"of,in,by,than",of,分野: 比較
英語,1000年,selection,"Be quiet, everyone. Stop () and listen to me.","taling,talk,talked,to talk",taling,分野: 動名詞
英語,1000年,selection,My brother went to America () music.,"to study,studies,studies,studying",to study,分野: 不定詞
英語,1000年,selection,That man who () three languages is Mr.Tanaka.,"speaks,speak,speaking,spoken",speaks,分野: 関係代名詞
英語,1000年,selection,Yumi and I () visit Kamakura together next Saturday.,"are going to,is going to,am going to,are",are going to,分野: be going to
英語,1000年,selection,I like the book () reading now.,"she is,she,her,which",she is,分野: 後置修飾
英語,1000年,selection,Did you watch the soccer game () Japan and Australia?,"between,for,among,on",between,分野: 前置詞
英語,1000年,selection,These are the pictures () I took during my school trip.,"that,who,what,when",that,分野: 関係代名詞
英語,1000年,selection,This is a temple () about 300 years ago.,"built,build,building,to build",built,分野: 過去分詞
英語,1000年,selection,Tell me () you are late.,"why,which,who,what",why,分野: 間接疑問文
英語,1000年,selection,A: What () you called by your friends when you were a child?<br>B: Arare-chan.,"were,are,did,have",were,分野: 受動態
英語,1000年,selection,This is a movie which () made twenty years ago.,"was,be,is,has",was,分野: 関係代名詞
英語,1000年,selection,There are two supermarkets near the station. One has more customers than ().,"the other,others,the one,another",the other,分野: otherの使い方
英語,1000年,selection,Who is the student () with Ms. King over there?,"talking,talk,talked,to talk",talking,分野: 現在分詞
英語,1000年,selection,A: How long () you and Jim been friends?<br>B: Since we were small children.,"have,were,did,do",have,分野: 現在完了
英語,1000年,selection,I'm sure this song will () her famous.,"make,call,become,give",make,分野: 第五文型 make
英語,1000年,selection,It's not difficult () me to send an e-mail.,"for,of,to,by",for,分野: It for 人 to
英語,1000年,selection,Keiko is a high schoolstudent () plays tennis very well.,"who,which,has,was",who,分野: 関係代名詞
英語,1000年,selection,My brother () the computer when I came home.,"was using,uses,is used,is using",was using,分野: 接続詞when
英語,1000年,selection,Can you come to my house after school today? I have something () you.,"to show,show,showing,showed",to show,分野: something ＋不定詞
英語,1000年,selection,He is the scientist () wrote this book.,"who,which,has,was",who,分野: 関係代名詞
英語,1000年,selection,"A: Is that girl () for the bus your sister?<br>B: Oh, yes. She's my younger sister Hiromi.","waiting,wait,waited,to wait",waiting,分野: 現在分詞
英語,1000年,selection,"A: Is baseball very popular in Japan?<br>B: Yes, it is. But I think soccer is () popular than baseball among young people now.","more,very,better,much",more,分野: 比較
英語,1000年,selection,Kete often () to the library after school and does her homework there.,"goes,go,went,has been",goes,分野: 動詞の時制
英語,1000年,selection,"My brother can play soccer well, () he can't swim.","but,so,that,or",but,分野: 接続詞
英語,1000年,selection,I have a friend who () good Chinese.,"speaks,speak,speaking,to speak",speaks,分野: 関係代名詞　主格の後の動詞の時制
英語,1000年,selection,My brother has a car () in America.,"made,make,kaking,was made",made,分野: 過去分詞
英語,1000年,selection,Emily () not finished her homework yet.,"has,is,was,did",has,分野: 現在完了
英語,1000年,selection,"To get to the city library, you have to take the bus that () to Minato Station.","goes,go,going,are going",goes,分野: 関係代名詞　主格の後の動詞の時制
英語,1000年,selection,"""() you like a cup of coffee?"" ""Yes, with milk, please.""","Would,Do,Will,Could",Would,分野: Would you like 
英語,1000年,selection,() careful when you ride a bike.,"Be,Do,Let's,Don't",Be,分野: 命令文 Be
英語,1000年,selection,I enjoyed () dinner with my sister yesterday.,"cooking,cook,to cook,cooked",cooking,分野: 動名詞
英語,1000年,selection,Both Mike and I () from Sydney.,"are,is,am,be",are,分野: be動詞選択
英語,1000年,selection,This is a place () I often visited when I was a child.,"that,who,what,how",that,分野: 関係代名詞
英語,1000年,selection,Kate asked me () her Japanese.,"to teach,teach,to teaching,taught",to teach,分野: ask 人 to
英語,1000年,selection,This news will () the students happy.,"make,tell,give,take",make,分野: 第五文型 make
英語,1000年,selection,() this song loved all over the world?,"Is,Do,Did,Has",Is,分野: 受動態
英語,1000年,selection,The people we met at the party () very kind to us.,"were,was,been,to be",were,分野: 長い主語
英語,1000年,selection,"Mom, I'm very hungry. Can you make something () me?","for,of,to,at",for,分野: 前置詞
英語,1000年,selection,Amy is a student who () math very hard.,"studies,study,studying,to study",studies,分野: 関係代名詞　主格の後の動詞の時制
英語,1000年,selection,The movie () I saw last night was very interesting.,"that,when,who,what",that,分野: 関係代名詞
英語,1000年,selection,I () decided where to go on vacation yet.,"haven't,don't,didn't,wasn't",haven't,分野: 現在完了
英語,1000年,selection,"""What is this?"" ""This is () a <i>furoshiki</i>. We use it to carry things.""","called,call,calls,calling",called,分野: 過去分詞
英語,1000年,selection,Can you wait here () one o'clock?,"until,in,on,for",until,分野: 前置詞
英語,1000年,selection,I'm looking for a person () will help me.,"who,whose,when,which",who,分野: 関係代名詞
英語,1000年,selection,This computer is () expensive than mine.,"much more,much,very much,very more",much more,分野: 比較
英語,1000年,selection,Kamakura is one of the cities () my sister has wanted to visit for a long time.,"which,what,who,how",which,分野: 関係代名詞
英語,1000年,selection,I bought a birthday present () my father in Yoohama yesterday.,"for,by,to,on",for,分野: 前置詞
英語,1000年,selection,There were some boys () were swimming in the river.,"who,those,which,what",who,分野: 関係代名詞
英語,1000年,selection,I like winter () of the four seasons.,"the best,better than,the coldest,more than",the best,分野: 比較
英語,1000年,selection,Some balls are white and () are black.,"others,the other,another,any",others,分野: Some ～ others
英語,1000年,selection,The homework given by Mr. Tanaka () by next Monday.,"must be done,should do,has to do,was done",must be done,分野: 助動詞＋受動態
